response_id,assessment_id,user_id,question_identifier,response_text,response_numeric,response_boolean,response_json,created_at
119,30,1,adoption.trainingNeeds,Partner with Seller Productivity and get Leadership buyin,,,,2025-05-08 10:50:36.696844
120,30,1,adoption.changeReadiness,high,,,,2025-05-08 10:50:36.696844
121,30,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 10:50:36.696844
122,30,1,workVolume.roleWorkVolume,,,,"{""7"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5}}",2025-05-08 10:50:39.693175
123,30,1,painPoints.generalPainPoints,"",,,,2025-05-08 10:50:40.297529
124,30,1,painPoints.roleSpecificPainPoints,,,,"{""7"": {""impact"": 2, ""severity"": 3, ""frequency"": 4, ""description"": ""Not agile enough to support rapid growth""}}",2025-05-08 10:50:40.297529
125,30,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}]",2025-05-08 10:50:40.964061
126,30,1,roles.selectedDepartments,,,,"[""Operations""]",2025-05-08 10:50:40.964061
127,30,1,basics.size,Medium (51-500 employees),,,,2025-05-08 10:50:42.178693
128,30,1,basics.goals,"Reduce Costs, streamline for growth, move away from centralized model",,,,2025-05-08 10:50:42.178693
129,30,1,basics.industry,Software & Technology,,,,2025-05-08 10:50:42.178693
130,30,1,basics.reportName,Ops Team Review,,,,2025-05-08 10:50:42.178693
131,30,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-08 10:50:42.178693
132,30,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations""]",2025-05-08 10:50:42.178693
133,30,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}]",2025-05-08 10:50:42.750096
134,30,1,roles.selectedDepartments,,,,"[""Operations""]",2025-05-08 10:50:42.750096
135,30,1,painPoints.generalPainPoints,"",,,,2025-05-08 10:50:43.397864
202,31,1,adoption.changeReadiness,medium,,,,2025-05-08 14:41:28.350948
136,30,1,painPoints.roleSpecificPainPoints,,,,"{""7"": {""impact"": 2, ""severity"": 3, ""frequency"": 4, ""description"": ""Not agile enough to support rapid growth""}}",2025-05-08 10:50:43.397864
137,30,1,workVolume.roleWorkVolume,,,,"{""7"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 5}}",2025-05-08 10:50:44.400799
138,30,1,techStack.dataQuality,fair,,,,2025-05-08 10:50:45.046123
139,30,1,techStack.relevantTools,"Entire GTM stack includes Salesforce, Certinia, Clari, Planhat, CPQ+",,,,2025-05-08 10:50:45.046123
140,30,1,techStack.dataAccessibility,easy,,,,2025-05-08 10:50:45.046123
141,30,1,techStack.systemsIntegration,moderate,,,,2025-05-08 10:50:45.046123
142,30,1,adoption.trainingNeeds,Partner with Seller Productivity and get Leadership buyin,,,,2025-05-08 10:50:45.772257
143,30,1,adoption.changeReadiness,high,,,,2025-05-08 10:50:45.772257
144,30,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 10:50:45.772257
145,31,1,basics.companyName,Sammy's slice of heaven,,,,2025-05-08 10:56:29.924443
146,31,1,basics.reportName,Operations Revamp,,,,2025-05-08 10:56:29.924443
147,31,1,basics.industry,Software & Technology,,,,2025-05-08 10:56:29.924443
148,31,1,basics.size,Medium (51-500 employees),,,,2025-05-08 10:56:29.924443
149,31,1,basics.goals,"Streamline Operations, make business more agile",,,,2025-05-08 10:56:29.924443
150,31,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations"", ""Finance""]",2025-05-08 10:56:29.924443
151,32,1,roles.selectedDepartments,,,,"[""Operations"", ""IT""]",2025-05-08 10:56:43.053569
152,32,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}, {""id"": 9, ""title"": ""Systems / IT / Infrastructure"", ""department"": ""IT""}]",2025-05-08 10:56:43.053569
153,32,1,painPoints.roleSpecificPainPoints,,,,"{""7"": {""impact"": 1, ""severity"": 4, ""frequency"": 2, ""description"": """"}, ""9"": {""impact"": 1, ""severity"": 5, ""frequency"": 3, ""description"": """"}}",2025-05-08 10:57:02.352521
154,32,1,painPoints.generalPainPoints,"",,,,2025-05-08 10:57:02.352521
155,32,1,workVolume.roleWorkVolume,,,,"{""7"": {""volume"": ""high"", ""complexity"": ""high"", ""repetitiveness"": 4}, ""9"": {""volume"": ""high"", ""complexity"": ""medium"", ""repetitiveness"": 5}}",2025-05-08 10:57:18.432241
156,32,1,techStack.dataAccessibility,moderate,,,,2025-05-08 10:57:35.943838
157,32,1,techStack.dataQuality,fair,,,,2025-05-08 10:57:35.943838
158,32,1,techStack.systemsIntegration,moderate,,,,2025-05-08 10:57:35.943838
159,32,1,adoption.changeReadiness,high,,,,2025-05-08 10:57:42.467356
160,32,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 10:57:42.467356
161,31,1,basics.size,Medium (51-500 employees),,,,2025-05-08 14:39:34.611478
162,31,1,basics.goals,"Streamline Operations, make business more agile",,,,2025-05-08 14:39:34.611478
163,31,1,basics.industry,Software & Technology,,,,2025-05-08 14:39:34.611478
164,31,1,basics.reportName,Operations Revamp,,,,2025-05-08 14:39:34.611478
165,31,1,basics.companyName,Sammy's slice of heaven,,,,2025-05-08 14:39:34.611478
166,31,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations"", ""Finance""]",2025-05-08 14:39:34.611478
167,31,1,roles.selectedDepartments,,,,"[""Customer Success""]",2025-05-08 14:39:42.038432
168,31,1,roles.selectedRoles,,,,"[{""id"": 4, ""title"": ""Customer Success Manager (CSM)"", ""department"": ""Customer Success""}]",2025-05-08 14:39:42.038432
169,31,1,roles.selectedDepartments,,,,"[""Customer Success""]",2025-05-08 14:39:42.066795
170,31,1,roles.selectedRoles,,,,"[{""id"": 4, ""title"": ""Customer Success Manager (CSM)"", ""department"": ""Customer Success""}]",2025-05-08 14:39:42.066795
171,31,1,basics.size,Medium (51-500 employees),,,,2025-05-08 14:39:44.799917
172,31,1,basics.goals,"Streamline Operations, make business more agile",,,,2025-05-08 14:39:44.799917
173,31,1,basics.industry,Software & Technology,,,,2025-05-08 14:39:44.799917
174,31,1,basics.reportName,Operations Revamp,,,,2025-05-08 14:39:44.799917
175,31,1,basics.companyName,Sammy's slice of heaven,,,,2025-05-08 14:39:44.799917
176,31,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations"", ""Finance""]",2025-05-08 14:39:44.799917
177,31,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}]",2025-05-08 14:39:49.879147
178,31,1,roles.selectedDepartments,,,,"[""Operations""]",2025-05-08 14:39:49.879147
179,31,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}]",2025-05-08 14:40:00.163093
180,31,1,roles.selectedDepartments,,,,"[""Operations""]",2025-05-08 14:40:00.163093
181,31,1,painPoints.generalPainPoints,test,,,,2025-05-08 14:40:03.834661
182,31,1,painPoints.roleSpecificPainPoints,,,,"{""7"": {""impact"": 1, ""severity"": 3, ""frequency"": 5, ""description"": ""test""}}",2025-05-08 14:40:03.834661
183,31,1,workVolume.roleWorkVolume,,,,"{""7"": {""volume"": ""medium"", ""complexity"": ""medium"", ""repetitiveness"": 3, ""dataDescription"": ""test""}}",2025-05-08 14:40:11.474327
184,31,1,techStack.dataAccessibility,moderate,,,,2025-05-08 14:40:48.978718
185,31,1,techStack.dataQuality,fair,,,,2025-05-08 14:40:48.978718
186,31,1,techStack.systemsIntegration,moderate,,,,2025-05-08 14:40:48.978718
187,31,1,techStack.relevantTools,Test,,,,2025-05-08 14:40:48.978718
188,31,1,techStack.notes,test,,,,2025-05-08 14:40:48.978718
189,31,1,adoption.changeReadiness,medium,,,,2025-05-08 14:40:57.08068
190,31,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 14:40:57.08068
191,31,1,adoption.trainingNeeds,test,,,,2025-05-08 14:40:57.08068
192,31,1,adoption.expectedChallenges,test,,,,2025-05-08 14:40:57.08068
193,31,1,adoption.successMetrics,test,,,,2025-05-08 14:40:57.08068
194,31,1,basics.size,Medium (51-500 employees),,,,2025-05-08 14:41:25.541063
195,31,1,basics.goals,"Streamline Operations, make business more agile",,,,2025-05-08 14:41:25.541063
196,31,1,basics.industry,Software & Technology,,,,2025-05-08 14:41:25.541063
197,31,1,basics.reportName,Operations Revamp,,,,2025-05-08 14:41:25.541063
198,31,1,basics.companyName,Sammy's slice of heaven,,,,2025-05-08 14:41:25.541063
199,31,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations"", ""Finance""]",2025-05-08 14:41:25.541063
200,31,1,adoption.trainingNeeds,test,,,,2025-05-08 14:41:28.350948
201,31,1,adoption.successMetrics,test,,,,2025-05-08 14:41:28.350948
203,31,1,adoption.expectedChallenges,test,,,,2025-05-08 14:41:28.350948
204,31,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 14:41:28.350948
205,31,1,basics.size,Medium (51-500 employees),,,,2025-05-08 14:42:16.883817
206,31,1,basics.goals,"Streamline Operations, make business more agile",,,,2025-05-08 14:42:16.883817
207,31,1,basics.industry,Software & Technology,,,,2025-05-08 14:42:16.883817
208,31,1,basics.reportName,Operations Revamp,,,,2025-05-08 14:42:16.883817
209,31,1,basics.companyName,Sammy's slice of heaven,,,,2025-05-08 14:42:16.883817
210,31,1,basics.stakeholders,,,,"[""Executive Leadership"", ""Operations"", ""Finance""]",2025-05-08 14:42:16.883817
211,31,1,roles.selectedRoles,,,,"[{""id"": 7, ""title"": ""Operations (Ops) / Revenue Operations"", ""department"": ""Operations""}]",2025-05-08 14:42:20.526172
212,31,1,roles.selectedDepartments,,,,"[""Operations""]",2025-05-08 14:42:20.526172
213,31,1,painPoints.generalPainPoints,test,,,,2025-05-08 14:42:23.791021
214,31,1,painPoints.roleSpecificPainPoints,,,,"{""7"": {""impact"": 1, ""severity"": 3, ""frequency"": 5, ""description"": ""test""}}",2025-05-08 14:42:23.791021
215,31,1,workVolume.roleWorkVolume,,,,"{""7"": {""volume"": ""medium"", ""complexity"": ""medium"", ""repetitiveness"": 3, ""dataDescription"": ""test""}}",2025-05-08 14:42:24.87612
216,31,1,techStack.notes,test,,,,2025-05-08 14:42:26.31558
217,31,1,techStack.dataQuality,fair,,,,2025-05-08 14:42:26.31558
218,31,1,techStack.relevantTools,Test,,,,2025-05-08 14:42:26.31558
219,31,1,techStack.dataAccessibility,moderate,,,,2025-05-08 14:42:26.31558
220,31,1,techStack.systemsIntegration,moderate,,,,2025-05-08 14:42:26.31558
221,31,1,adoption.trainingNeeds,test,,,,2025-05-08 14:42:28.459095
222,31,1,adoption.successMetrics,test,,,,2025-05-08 14:42:28.459095
223,31,1,adoption.changeReadiness,medium,,,,2025-05-08 14:42:28.459095
224,31,1,adoption.expectedChallenges,test,,,,2025-05-08 14:42:28.459095
225,31,1,adoption.stakeholderAlignment,medium,,,,2025-05-08 14:42:28.459095
226,35,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-09 13:37:39.807664
227,35,1,basics.reportName,IT Tool Rationalization,,,,2025-05-09 13:37:39.807664
228,35,1,basics.industry,Retail & E-commerce,,,,2025-05-09 13:37:39.807664
229,35,1,basics.size,Medium (51-500 employees),,,,2025-05-09 13:37:39.807664
230,35,1,basics.goals,"Improve margins, streamline IT processes",,,,2025-05-09 13:37:39.807664
231,35,1,basics.stakeholders,,,,[],2025-05-09 13:37:39.807664
232,35,1,basics.industryMaturity,Mature,,,,2025-05-09 13:37:39.807664
233,35,1,basics.companyStage,Scaling,,,,2025-05-09 13:37:39.807664
234,35,1,roles.selectedDepartments,,,,[],2025-05-09 13:37:45.01375
235,35,1,roles.selectedRoles,,,,[],2025-05-09 13:37:45.01375
236,35,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-09 13:48:11.63294
237,35,1,basics.reportName,IT Tool Rationalization,,,,2025-05-09 13:48:11.63294
238,35,1,basics.industry,Retail & E-commerce,,,,2025-05-09 13:48:11.63294
239,35,1,basics.size,Medium (51-500 employees),,,,2025-05-09 13:48:11.63294
240,35,1,basics.goals,"",,,,2025-05-09 13:48:11.63294
241,35,1,basics.stakeholders,,,,[],2025-05-09 13:48:11.63294
242,35,1,basics.industryMaturity,Mature,,,,2025-05-09 13:48:11.63294
243,35,1,basics.companyStage,Scaling,,,,2025-05-09 13:48:11.63294
244,36,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-10 04:32:38.513205
245,36,1,basics.reportName,IT Tool Rationalization,,,,2025-05-10 04:32:38.513205
246,36,1,basics.industry,Retail & E-commerce,,,,2025-05-10 04:32:38.513205
247,36,1,basics.size,Medium (51-500 employees),,,,2025-05-10 04:32:38.513205
248,36,1,basics.goals,"",,,,2025-05-10 04:32:38.513205
249,36,1,basics.stakeholders,,,,[],2025-05-10 04:32:38.513205
250,36,1,basics.industryMaturity,Immature,,,,2025-05-10 04:32:38.513205
251,36,1,basics.companyStage,Scaling,,,,2025-05-10 04:32:38.513205
252,36,1,roles.selectedDepartments,,,,[],2025-05-10 04:32:44.395115
253,36,1,roles.selectedRoles,,,,[],2025-05-10 04:32:44.395115
254,36,1,basics.companyName,Sammy's Slice of Heaven,,,,2025-05-10 05:13:39.049356
255,36,1,basics.reportName,IT Tool Rationalization,,,,2025-05-10 05:13:39.049356
256,36,1,basics.industry,Retail & E-commerce,,,,2025-05-10 05:13:39.049356
257,36,1,basics.size,Medium (51-500 employees),,,,2025-05-10 05:13:39.049356
258,36,1,basics.goals,"",,,,2025-05-10 05:13:39.049356
259,36,1,basics.stakeholders,,,,[],2025-05-10 05:13:39.049356
260,36,1,basics.industryMaturity,Immature,,,,2025-05-10 05:13:39.049356
261,36,1,basics.companyStage,Scaling,,,,2025-05-10 05:13:39.049356
